draft_pick,team,name,pos,age,ht,wt,college,college/yrs,meets,draft_value_score,draft_round,is_early_pick,age_normalized,college_years_numeric,college_years_normalized,age_experience_ratio,height_numeric,weight_numeric,bmi,position,position_tier,is_qb,is_defensive,meets_numeric,meets_normalized,college_frequency,college_frequency_normalized,scout_grade,position_avg_pick,pick_vs_position_avg,draft_predictability,pos_tier_LINE,pos_tier_OTHER,pos_tier_SKILL
31,ARI,Beanie Wells,RB,21.0,2012.0,0,0,2,14.0,0.87890625,1,1,0.2,2,0.13333333333333333,10.5,2012.0,0,0.0,RB,SKILL,0,0,14.0,0.1111111111111111,444,1.0,73.37847222222223,136.73684210526315,-105.73684210526315,0.7732871439568899,False,False,True
32,PIT,Evander Hood,DE,22.0,2018.0,0,0,5,38.0,0.875,1,1,0.4,5,0.3333333333333333,4.4,2018.0,0,0.0,DE,LINE,0,1,38.0,0.30158730158730157,444,1.0,73.03174603174602,119.0377358490566,-87.0377358490566,0.7311776826755428,True,False,False
33,DET,Louis Delmas,DB,22.0,2014.0,0,0,6,25.0,0.87109375,2,1,0.4,6,0.4,3.6666666666666665,2014.0,0,0.0,DB,OTHER,0,1,25.0,0.1984126984126984,444,1.0,70.81200396825396,129.9814814814815,-96.9814814814815,0.7461176805812794,False,True,False
34,NWE,Patrick Chung,DB,22.0,2019.0,0,0,10,38.0,0.8671875,2,1,0.4,10,0.6666666666666666,2.2,2019.0,0,0.0,DB,OTHER,0,1,38.0,0.30158730158730157,444,1.0,72.71924603174602,129.9814814814815,-95.9814814814815,0.7384242769625303,False,True,False
35,STL,James Laurinaitis,LB,22.0,2016.0,0,0,7,51.0,0.86328125,2,1,0.4,7,0.4666666666666667,3.142857142857143,2016.0,0,0.0,LB,OTHER,0,0,51.0,0.40476190476190477,444,1.0,74.6264880952381,117.67796610169492,-82.67796610169492,0.7025781362523404,False,True,False
36,CLE,Brian Robiskie,WR,21.0,2013.0,0,0,1,3.0,0.859375,2,1,0.2,1,0.06666666666666667,21.0,2013.0,0,0.0,WR,SKILL,0,0,3.0,0.023809523809523808,444,1.0,70.85119047619048,129.13846153846154,-93.13846153846154,0.7212294496068621,False,False,True
37,DEN,Alphonso Smith,DB,23.0,2012.0,0,0,1,8.0,0.85546875,2,1,0.6,1,0.06666666666666667,23.0,2012.0,0,0.0,DB,OTHER,0,1,8.0,0.06349206349206349,444,1.0,63.48859126984127,129.9814814814815,-92.9814814814815,0.715344066106283,False,True,False
38,CIN,Rey Maualuga,LB,22.0,2017.0,0,0,9,49.0,0.8515625,2,1,0.4,9,0.6,2.4444444444444446,2017.0,0,0.0,LB,OTHER,0,0,49.0,0.3888888888888889,444,1.0,73.84027777777777,117.67796610169492,-79.67796610169492,0.6770848336453983,False,True,False
39,JAX,Eben Britton,T,21.0,2014.0,0,0,1,17.0,0.84765625,2,1,0.2,1,0.06666666666666667,21.0,2014.0,0,0.0,T,OTHER,0,0,17.0,0.1349206349206349,444,1.0,72.6046626984127,110.17073170731707,-71.17073170731707,0.6460039849457605,False,True,False
40,NWE,Ron Brace,DT,22.0,2012.0,0,0,1,6.0,0.84375,2,1,0.4,1,0.06666666666666667,22.0,2012.0,0,0.0,DT,LINE,0,1,6.0,0.047619047619047616,444,1.0,66.70238095238095,118.3076923076923,-78.3076923076923,0.6618985695708712,True,False,False
41,NWE,Darius Butler,DB,23.0,2017.0,0,0,0,22.0,0.83984375,2,1,0.6,0,0.0,23.0,2017.0,0,0.0,DB,OTHER,0,1,22.0,0.1746031746031746,444,1.0,65.0858134920635,129.9814814814815,-88.9814814814815,0.6845704516312865,False,True,False
42,BUF,Jairus Byrd,DB,22.0,2017.0,0,3,7,38.0,0.8359375,2,1,0.4,7,0.4666666666666667,3.142857142857143,2017.0,0,0.0,DB,OTHER,0,1,38.0,0.30158730158730157,9,0.01805869074492099,51.83041984664445,129.9814814814815,-87.9814814814815,0.6768770480125375,False,True,False
43,CAR,Everette Brown,DE,22.0,2014.0,0,0,0,6.0,0.83203125,2,1,0.4,0,0.0,22.0,2014.0,0,0.0,DE,LINE,0,1,6.0,0.047619047619047616,444,1.0,66.23363095238095,119.0377358490566,-76.0377358490566,0.6387700110952608,True,False,False
44,MIA,Pat White,QB,23.0,2009.0,0,0,0,1.0,0.828125,2,1,0.6,0,0.0,23.0,2009.0,0,0.0,QB,SKILL,1,0,1.0,0.007936507936507936,444,1.0,61.28373015873016,129.25,-85.25,0.6595744680851063,False,False,True
